                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66795,                  2.988,                0.89242,                0.78588,                0.13259,                0.16183,                0.13183,                0.83348,                 3.6837,                 1.0026,              6.664e-05,              6.664e-05,              6.664e-05
                      2,                 0.5307,                 1.3816,                0.85877,                  0.954,                0.39599,                0.41216,                0.30597,                0.72554,                 4.2781,                0.96588,              0.0001346,              0.0001346,              0.0001346
                      3,                0.51061,                0.98755,                0.85717,                0.89542,                  0.781,                0.80026,                0.52195,                0.79709,                 2.8235,                0.98493,             0.00019514,             0.00019514,             0.00019514
                      4,                0.49663,                0.71941,                0.86293,                0.88683,                 0.7619,                0.82045,                0.52431,                0.81784,                 16.686,                  1.008,             0.00024825,             0.00024825,             0.00024825
                      5,                0.48459,                0.67196,                 0.8499,                  0.953,                0.84043,                0.85157,                0.55356,                0.85965,                 2.2522,                 1.0178,             0.00029395,             0.00029395,             0.00029395
                      6,                0.46642,                0.59493,                0.82713,                0.82485,                      1,                 0.9195,                 0.5875,                0.74771,                 7.3291,                 0.9763,             0.00033222,             0.00033222,             0.00033222
                      7,                0.44641,                0.54361,                0.83801,                0.91725,                   0.98,                0.99076,                0.59255,                0.79616,                 1.9978,                0.99343,             0.00036307,             0.00036307,             0.00036307
                      8,                0.46319,                0.50024,                0.84824,                0.97951,                0.95417,                0.99124,                0.64972,                0.82469,                 1.2781,                  1.015,              0.0003865,              0.0003865,              0.0003865
                      9,                0.44306,                0.44831,                0.83283,                0.96841,                 0.9582,                 0.9909,                0.64481,                0.80642,                 0.6918,                 1.0102,             0.00040251,             0.00040251,             0.00040251
                     10,                0.42932,                0.41355,                0.83102,                0.91534,                      1,                0.99076,                0.62666,                0.84904,                0.73728,                 1.0293,             0.00041109,             0.00041109,             0.00041109
                     11,                0.44155,                0.47876,                0.83354,                0.92514,                0.96825,                0.95362,                0.63338,                0.82162,                0.68308,                 1.0038,             0.00041225,             0.00041225,             0.00041225
                     12,                0.44674,                0.43464,                0.80809,                0.92768,                0.95238,                0.91808,                0.58548,                0.88743,                0.76373,                 1.0422,             0.00037943,             0.00037943,             0.00037943
                     13,                0.41221,                0.39256,                0.81799,                0.96553,                      1,                0.99324,                0.62872,                0.78741,                0.71733,                0.99135,             0.00037943,             0.00037943,             0.00037943
                     14,                0.43805,                0.37067,                0.82254,                0.95517,                      1,                0.99471,                0.62695,                0.85051,                0.67321,                 1.0205,              0.0003382,              0.0003382,              0.0003382
                     15,                0.38954,                0.34716,                 0.8012,                0.97631,                      1,                0.99124,                0.63144,                0.82991,                0.57602,                 1.0002,             0.00029696,             0.00029696,             0.00029696
                     16,                 0.4117,                0.35374,                0.81455,                 0.9797,                      1,                0.99124,                0.62382,                0.81633,                0.48829,                 1.0131,             0.00025573,             0.00025573,             0.00025573
                     17,                 0.3842,                0.33118,                0.79642,                0.98222,                      1,                0.99143,                0.60661,                0.86417,                0.46612,                 1.0358,              0.0002145,              0.0002145,              0.0002145
                     18,                0.38024,                0.33084,                0.80357,                0.96983,                      1,                0.99157,                0.63176,                0.79529,                0.48034,                  1.001,             0.00017326,             0.00017326,             0.00017326
                     19,                 0.3476,                0.31127,                0.79874,                 0.9712,                      1,                0.99205,                 0.6403,                0.77323,                0.46507,                0.98712,             0.00013203,             0.00013203,             0.00013203
                     20,                0.33722,                0.29343,                0.79152,                0.97805,                      1,                 0.9911,                0.63069,                0.81111,                0.44328,                 1.0002,             9.0797e-05,             9.0797e-05,             9.0797e-05
